zone_id,centroid_latitude,centroid_longitude,area_km2,pixel_count,median_velocity_mm_year,mean_velocity_mm_year,worst_velocity_mm_year,median_net_displacement_mm,worst_net_displacement_mm,median_velocity_std_mm_year,median_temporal_coherence,median_num_interferograms,confidence
10,23.770139118669103,86.39353867268304,2.1888,342,-89.68817138671875,-100.70579528808594,-238.908447265625,-408.9099317789078,-1060.9679222106934,1.9418797492980957,1.0,138.0,very_high
3,23.79895454797151,86.34971737569091,0.6016,94,-88.12555694580078,-95.04460906982422,-182.40914916992188,-438.5478049516678,-941.329300403595,2.688368797302246,1.0,138.0,very_high
6,23.78631845133398,86.31015086227295,0.5632,88,-88.29473876953125,-95.4447250366211,-171.36558532714844,-399.9330997467041,-778.5640954971313,1.8553009033203125,1.0,138.0,very_high
2,23.80479812302389,86.32576473929359,0.3904,61,-91.36128234863281,-98.47115325927734,-168.1009063720703,-438.9288127422333,-809.528112411499,2.0023880004882812,1.0,138.0,very_high
22,23.720190533076952,86.44658048191106,0.1216,19,-87.78868103027344,-94.61702728271484,-161.87266540527344,-383.11976194381714,-705.8466672897339,1.7205567359924316,1.0,138.0,high
1,23.806642166395537,86.31599177039338,0.6848000000000001,107,-88.51789855957031,-91.18523406982422,-152.17262268066406,-403.5412669181824,-785.606324672699,1.7694485187530518,1.0,138.0,very_high
7,23.785165340272552,86.3355429988428,0.24960000000000002,39,-81.32195281982422,-84.24807739257812,-146.58998107910156,-362.51577734947205,-593.3147072792053,1.6526107788085938,1.0,139.0,very_high
11,23.77595750279672,86.20156590912906,0.4736,74,-87.73201751708984,-92.87052154541016,-145.51275634765625,-430.821493268013,-654.9522280693054,1.9220149517059326,1.0,138.0,very_high
20,23.7292435218317,86.43819650560732,0.43520000000000003,68,-81.17745208740234,-84.0636978149414,-134.57093811035156,-379.4848173856735,-624.1201758384705,1.5203821659088135,1.0,139.0,very_high
26,23.64032618715465,86.54642409870215,0.192,30,-79.61875915527344,-86.35074615478516,-134.34945678710938,-381.3962936401367,-595.5090522766113,2.1917152404785156,1.0,135.0,very_high
18,23.74264872037248,86.42913814803987,0.4288,67,-78.21952056884766,-83.01001739501953,-133.4188690185547,-370.24059891700745,-588.2699489593506,1.3045614957809448,1.0,139.0,very_high
17,23.74698601217859,86.43881415837913,0.26880000000000004,42,-83.95376586914062,-87.00564575195312,-125.08322143554688,-349.3276536464691,-496.8165457248688,1.4274647235870361,1.0,138.0,very_high
4,23.795481045518144,86.38367405262031,0.096,15,-72.25215148925781,-79.4676284790039,-119.87820434570312,-321.24829292297363,-482.78868198394775,1.7189868688583374,1.0,138.0,high
16,23.74991046649521,86.4178074018364,0.1024,16,-77.21134948730469,-83.47152709960938,-117.67276000976562,-340.6261056661606,-506.9699287414551,1.4968287944793701,1.0,139.0,high
15,23.750343665950457,86.43105248115532,0.2048,32,-85.4712905883789,-87.10608673095703,-117.25994873046875,-363.4789139032364,-494.951069355011,2.328456401824951,1.0,139.0,very_high
25,23.675118328981505,86.39769502486436,0.384,60,-81.1983413696289,-82.35954284667969,-115.68482208251953,-389.3720209598541,-539.3550395965576,2.2203054428100586,1.0,138.0,very_high
8,23.782952379488705,86.226115400905,0.0896,14,-79.93128204345703,-81.83091735839844,-115.0085220336914,-341.76693856716156,-506.58732652664185,2.1073477268218994,1.0,138.0,high
12,23.766503302391516,86.37768133675942,0.3648,57,-76.79331970214844,-79.28841400146484,-114.0052261352539,-319.2748427391052,-469.89116072654724,1.6923779249191284,1.0,139.0,very_high
9,23.782511208512467,86.32939026436057,0.0704,11,-75.3460693359375,-82.22708129882812,-110.76941680908203,-292.8412854671478,-405.4239094257355,1.9774113893508911,1.0,139.0,high
5,23.792114331967795,86.24033004325793,0.256,40,-80.8338394165039,-81.85528564453125,-108.77661895751953,-363.29254508018494,-481.60073161125183,1.8941025733947754,1.0,139.0,very_high
13,23.76326776788375,86.42883732022501,0.1792,28,-71.53749084472656,-76.26438903808594,-108.114013671875,-321.5921223163605,-473.377525806427,1.788722038269043,1.0,139.0,very_high
21,23.72656365473751,86.41995739086852,0.3584,56,-73.36904907226562,-75.3744888305664,-105.79682922363281,-315.28791785240173,-436.8664026260376,1.9528831243515015,1.0,139.0,very_high
23,23.70339320943686,86.44593968307976,0.08320000000000001,13,-79.0243911743164,-80.94677734375,-96.98216247558594,-326.51954889297485,-432.68662691116333,1.3033051490783691,1.0,139.0,high
14,23.754100474994587,86.32908776742522,0.2752,43,-72.07707977294922,-71.79059600830078,-92.68891143798828,-302.565336227417,-387.7176344394684,1.278374433517456,1.0,139.0,very_high
24,23.689148646051738,86.38725115956922,0.10880000000000001,17,-72.95162963867188,-76.19973754882812,-91.17831420898438,-349.53203797340393,-405.7075083255768,1.3742461204528809,1.0,139.0,high
19,23.73795689821245,86.43653541249505,0.057600000000000005,9,-67.2458724975586,-71.28616333007812,-87.79776763916016,-350.71492195129395,-420.7300543785095,1.446864366531372,1.0,139.0,high
27,23.633685041845162,86.51419401656557,0.057600000000000005,9,-68.71320343017578,-70.02531433105469,-82.72972869873047,-290.1551425457001,-347.6563096046448,1.6160067319869995,1.0,137.0,high
